FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_NAME,UNIT_MEASURE_NAME,TIME_PERIOD,OBS_VALUE
Annual,THA,Thailand,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,79.43
Annual,KOR,"Korea, Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,37.87
Annual,CHN,China,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,69.21
Annual,IND,India,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,82.51
Annual,IRN,"Iran, Islamic Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,26.54
Annual,CAN,Canada,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,62.57
Annual,MAR,Morocco,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,70.73
Annual,LUX,Luxembourg,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,49.31
Annual,CYP,Cyprus,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,39.81
Annual,LTU,Lithuania,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,61.24
Annual,LVA,Latvia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,42.99
Annual,EST,Estonia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,49.48
Annual,HRV,Croatia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,64.09
Annual,SVN,Slovenia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,50.23
Annual,SVK,Slovak Republic,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,32.86
Annual,GTM,Guatemala,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,71.85
Annual,PAN,Panama,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,52.46
Annual,ECU,Ecuador,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,54.28
Annual,URY,Uruguay,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,58.26
Annual,PRI,Puerto Rico,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,63.32
Annual,JOR,Jordan,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,47.65
Annual,SAU,Saudi Arabia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,93.21
Annual,OMN,Oman,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,68.74
Annual,ISR,Israel,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,47.15
Annual,QAT,Qatar,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2023,68.68
Annual,USA,United States,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,46.01
Annual,EGY,"Egypt, Arab Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,63.71
Annual,ZAF,South Africa,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,61.31
Annual,GRC,Greece,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,36.35
Annual,NLD,Netherlands,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,61.62
Annual,FRA,France,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,52.36
Annual,ESP,Spain,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,26.03
Annual,HUN,Hungary,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,27.23
Annual,ROU,Romania,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,63.75
Annual,CHE,Switzerland,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,46.95
Annual,AUT,Austria,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,49.49
Annual,GBR,United Kingdom,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,44.35
Annual,SWE,Sweden,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,76.72
Annual,NOR,Norway,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,73.56
Annual,POL,Poland,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,72.26
Annual,DEU,Germany,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,39.52
Annual,MEX,Mexico,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,56.36
Annual,BRA,Brazil,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,67.87
Annual,CHL,Chile,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,50.5
Annual,COL,Colombia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,53.44
Annual,VEN,"Venezuela, RB",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,63.69
Annual,IDN,Indonesia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,87.23
Annual,JPN,Japan,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,12.7
Annual,KOR,"Korea, Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,41.03
Annual,CHN,China,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,56.48
Annual,IND,India,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,75.45
Annual,IRN,"Iran, Islamic Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,51.29
Annual,CAN,Canada,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,58.84
Annual,MAR,Morocco,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,62.49
Annual,TUN,Tunisia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,61.8
Annual,TGO,Togo,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,77.16
Annual,LUX,Luxembourg,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,52.38
Annual,CYP,Cyprus,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,26.78
Annual,LTU,Lithuania,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,40.38
Annual,LVA,Latvia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,34.56
Annual,SRB,Serbia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,37.76
Annual,HRV,Croatia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,60.02
Annual,SVN,Slovenia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,54.96
Annual,SVK,Slovak Republic,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,29.37
Annual,GTM,Guatemala,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,68.27
Annual,PAN,Panama,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,53.38
Annual,URY,Uruguay,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,58.2
Annual,PRI,Puerto Rico,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,64.08
Annual,TWN,"Taiwan, China",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,46.81
Annual,SAU,Saudi Arabia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,89.5
Annual,OMN,Oman,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,75.66
Annual,ARE,United Arab Emirates,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,72.16
Annual,ISR,Israel,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,46.75
Annual,QAT,Qatar,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2022,80.97
Annual,USA,United States,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,63.15
Annual,RUS,Russian Federation,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,33.5
Annual,EGY,"Egypt, Arab Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,73.24
Annual,ZAF,South Africa,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,57.88
Annual,GRC,Greece,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,48.63
Annual,NLD,Netherlands,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,69.93
Annual,FRA,France,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,52.13
Annual,ESP,Spain,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,30.02
Annual,HUN,Hungary,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,36.54
Annual,ITA,Italy,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,34.67
Annual,ROU,Romania,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,49.13
Annual,CHE,Switzerland,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,54.71
Annual,GBR,United Kingdom,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,61.22
Annual,SWE,Sweden,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,79.61
Annual,NOR,Norway,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,74.31
Annual,POL,Poland,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,72.54
Annual,DEU,Germany,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,48.17
Annual,BRA,Brazil,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,54.8
Annual,CHL,Chile,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,59.75
Annual,COL,Colombia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,38.11
Annual,JPN,Japan,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,11.74
Annual,KOR,"Korea, Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,43.99
Annual,TUR,Turkiye,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,31.9
Annual,IND,India,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,83.41
Annual,IRN,"Iran, Islamic Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,17.87
Annual,CAN,Canada,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,70.5
Annual,MAR,Morocco,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,64.13
Annual,SDN,Sudan,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,72.13
Annual,LUX,Luxembourg,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,54.07
Annual,IRL,Ireland,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,57.29
Annual,CYP,Cyprus,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,50.17
Annual,FIN,Finland,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,61.04
Annual,LVA,Latvia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,39.64
Annual,BLR,Belarus,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,25.02
Annual,HRV,Croatia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,58.33
Annual,SVN,Slovenia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,51.49
Annual,SVK,Slovak Republic,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,33.39
Annual,GTM,Guatemala,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,69.11
Annual,PAN,Panama,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,46.3
Annual,URY,Uruguay,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,58.44
Annual,KAZ,Kazakhstan,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,51.35
Annual,DOM,Dominican Republic,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,74.36
Annual,SAU,Saudi Arabia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,95.38
Annual,OMN,Oman,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,67.7
Annual,ARE,United Arab Emirates,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,73.47
Annual,ISR,Israel,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,45.83
Annual,QAT,Qatar,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2021,73.79
Annual,USA,United States,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,48.6
Annual,RUS,Russian Federation,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,33.4
Annual,EGY,"Egypt, Arab Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,65.7
Annual,GRC,Greece,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,27.9
Annual,NLD,Netherlands,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,48.8
Annual,ESP,Spain,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,16.5
Annual,ITA,Italy,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,62.2
Annual,CHE,Switzerland,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,26.7
Annual,AUT,Austria,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,31.2
Annual,GBR,United Kingdom,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,27.3
Annual,SWE,Sweden,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,62.5
Annual,NOR,Norway,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,57
Annual,POL,Poland,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,51.6
Annual,DEU,Germany,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,36
Annual,BRA,Brazil,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,57.3
Annual,CHL,Chile,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,46.7
Annual,COL,Colombia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,47.9
Annual,IDN,Indonesia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,80.6
Annual,KOR,"Korea, Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,44.6
Annual,IND,India,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,82.5
Annual,IRN,"Iran, Islamic Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,13.3
Annual,CAN,Canada,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,49.1
Annual,MAR,Morocco,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,57.3
Annual,BFA,Burkina Faso,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,75.5
Annual,TGO,Togo,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,78.5
Annual,AGO,Angola,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,75.6
Annual,LUX,Luxembourg,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,41.9
Annual,CYP,Cyprus,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,21.1
Annual,LVA,Latvia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,37.1
Annual,HRV,Croatia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,47.2
Annual,SVN,Slovenia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,42
Annual,SVK,Slovak Republic,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,40.9
Annual,GTM,Guatemala,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,62.6
Annual,PAN,Panama,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,47.2
Annual,URY,Uruguay,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,47.3
Annual,KAZ,Kazakhstan,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,44.8
Annual,TWN,"Taiwan, China",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,39.3
Annual,KWT,Kuwait,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,62.6
Annual,SAU,Saudi Arabia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,90.5
Annual,OMN,Oman,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,83.8
Annual,ARE,United Arab Emirates,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,62.1
Annual,ISR,Israel,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,25
Annual,QAT,Qatar,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2020,72.3
Annual,USA,United States,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,67.24
Annual,RUS,Russian Federation,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,29.6
Annual,EGY,"Egypt, Arab Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,73.53
Annual,ZAF,South Africa,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,60.41
Annual,GRC,Greece,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,49.86
Annual,NLD,Netherlands,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,64.58
Annual,ESP,Spain,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,36.13
Annual,ITA,Italy,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,45.14
Annual,CHE,Switzerland,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,40.66
Annual,GBR,United Kingdom,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,43.84
Annual,SWE,Sweden,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,79.79
Annual,NOR,Norway,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,69.49
Annual,POL,Poland,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,87.28
Annual,DEU,Germany,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,52.18
Annual,MEX,Mexico,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,62.81
Annual,BRA,Brazil,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,46.37
Annual,CHL,Chile,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,47.62
Annual,COL,Colombia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,46.68
Annual,AUS,Australia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,45.74
Annual,JPN,Japan,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,10.56
Annual,KOR,"Korea, Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,42.89
Annual,CHN,China,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,74.86
Annual,IND,India,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,83.1
Annual,PAK,Pakistan,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,62.3
Annual,IRN,"Iran, Islamic Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,47.68
Annual,CAN,Canada,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,67.08
Annual,MAR,Morocco,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,57.66
Annual,MDG,Madagascar,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,46.78
Annual,PRT,Portugal,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,53.52
Annual,LUX,Luxembourg,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,58.01
Annual,IRL,Ireland,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,50.22
Annual,CYP,Cyprus,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,38.52
Annual,LVA,Latvia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,35.55
Annual,ARM,Armenia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,53.89
Annual,BLR,Belarus,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,29.52
Annual,HRV,Croatia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,55.66
Annual,SVN,Slovenia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,47.59
Annual,MKD,North Macedonia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,50.49
Annual,SVK,Slovak Republic,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,36.04
Annual,GTM,Guatemala,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,67.25
Annual,PAN,Panama,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,53.37
Annual,ECU,Ecuador,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,55.85
Annual,PRI,Puerto Rico,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,39.43
Annual,TWN,"Taiwan, China",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,41.16
Annual,JOR,Jordan,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,40.57
Annual,SAU,Saudi Arabia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,73.8
Annual,OMN,Oman,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,72.31
Annual,ARE,United Arab Emirates,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,66.1
Annual,ISR,Israel,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,46
Annual,QAT,Qatar,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2019,75.59
Annual,USA,United States,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,69.83
Annual,RUS,Russian Federation,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,22.81
Annual,EGY,"Egypt, Arab Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,39.31
Annual,GRC,Greece,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,19.22
Annual,NLD,Netherlands,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,66.73
Annual,FRA,France,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,34.95
Annual,ESP,Spain,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,29.09
Annual,ITA,Italy,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,34.57
Annual,CHE,Switzerland,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,45.48
Annual,AUT,Austria,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,46.78
Annual,GBR,United Kingdom,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,44.02
Annual,SWE,Sweden,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,81.56
Annual,POL,Poland,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,68.48
Annual,DEU,Germany,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,42.11
Annual,PER,Peru,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,55.99
Annual,ARG,Argentina,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,35.89
Annual,BRA,Brazil,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,31.43
Annual,CHL,Chile,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,61.78
Annual,COL,Colombia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,57.48
Annual,IDN,Indonesia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,54.93
Annual,THA,Thailand,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,50.11
Annual,JPN,Japan,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,8.09
Annual,KOR,"Korea, Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,45.68
Annual,CHN,China,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,35.07
Annual,TUR,Turkiye,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,44.31
Annual,IND,India,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,49.83
Annual,IRN,"Iran, Islamic Rep.",GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,22.32
Annual,CAN,Canada,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,62.98
Annual,MAR,Morocco,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,33.58
Annual,AGO,Angola,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,74.02
Annual,SDN,Sudan,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,70.98
Annual,MDG,Madagascar,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,30.56
Annual,LUX,Luxembourg,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,55
Annual,IRL,Ireland,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,51.65
Annual,CYP,Cyprus,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,45.89
Annual,BGR,Bulgaria,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,19.25
Annual,HRV,Croatia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,33.13
Annual,SVN,Slovenia,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,42.17
Annual,SVK,Slovak Republic,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,37.41
Annual,GTM,Guatemala,GEM Adult Population Survey: Perceived opportunities,Percentage of respondents,2018,54.63
